Trading Name,Trading Code,Last,Chg,Chg%,Vol,Val($M),BVol,Bid,Ask,SVol,Open,High,Low
AEM SGD,AWX,1.940,+0.020,+1.04,"1,805.9",3.51,92.5,1.930,1.940,46.8,1.910,1.970,1.910
CapLand IntCom T,C38U,1.950,-0.020,-1.02,"17,414.9",34.1,"5,754.7",1.950,1.960,"1,791.9",1.960,1.970,1.950
CDL HTrust,J85,0.970,+0.005,+0.52,778.9,0.75,5.3,0.970,0.975,411.6,0.970,0.970,0.965
China Aviation,G92,0.890,﹣,﹣,405.9,0.36,65.5,0.890,0.895,5.2,0.890,0.900,0.885
Delfi,P34,0.875,-0.010,-1.13,681.9,0.6,78.9,0.875,0.885,59.4,0.880,0.885,0.870
Frencken,E28,1.460,-0.040,-2.67,"3,602.9",5.37,254.9,1.460,1.470,24.5,1.500,1.510,1.460
Genting Sing,G13,0.900,-0.010,-1.10,"14,506.3",13.13,"8,155.7",0.900,0.905,"1,693",0.905,0.915,0.900
ISDN,I07,0.315,+0.005,+1.61,"2,330.9",0.73,201.3,0.315,0.320,487.3,0.315,0.320,0.310
PanUnited,P52,0.460,+0.010,+2.22,105.8,0.05,33,0.450,0.460,55,0.450,0.460,0.450
SATS,S58,2.630,-0.010,-0.38,"4,326.7",11.34,167.8,2.620,2.630,217.7,2.640,2.640,2.600
Seatrium Ltd,5E2,1.870,+0.120,+6.86,"64,539.8",119.11,348.3,1.870,1.880,412.8,1.760,1.920,1.750
Singtel,Z74,2.460,﹣,﹣,"37,035.7",91.36,"1,672.6",2.460,2.470,"1,639.4",2.470,2.480,2.450
TheHourGlass,AGS,1.600,-0.010,-0.62,146.7,0.23,90.1,1.600,1.610,5.9,1.610,1.620,1.580
TJ DaRenTang USD,T14,2.460,-0.190,-7.17,146.5,0.38,1.4,2.460,2.550,11,2.650,2.660,2.430
UMS,558,1.210,﹣,﹣,"5,000.1",6.03,227.3,1.210,1.220,818.4,1.210,1.220,1.190
Valuetronics,BN2,0.625,-0.020,-3.10,"2,540.7",1.6,225.2,0.625,0.630,181.1,0.635,0.640,0.620
